
Quadro extraído em 15 de Janeiro de 2025 (22:47:02)
http://www.ine.pt



Período de referência dos dados;Consumo individual por objetivo;Índice harmonizado de preços no consumidor (Taxa de variação média dos últimos 12 meses - Base 2015 - %) por Consumo individual por objetivo -  Mensal;
;Comunicações;-2,9;
;Lazer, recreação e cultura;2,9;
;Educação;4,9;
;Restaurantes e hotéis;4;
;Bens e serviços diversos;5,3;
Agosto de 2001;Total;4,3;
;Produtos alimentares e bebidas não alcoólicas;6,1;
;Bebidas alcoólicas e tabaco;2,4;
;Vestuário e calçado;1,4;
;Habitação, água, electricidade, gás e outros combustíveis;4,5;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,9;
;Saúde;3,2;
;Transportes;5,2;
;Comunicações;-3,1;
;Lazer, recreação e cultura;2,8;
;Educação;4,7;
;Restaurantes e hotéis;4,1;
;Bens e serviços diversos;5,2;
Julho de 2001;Total;4,2;
;Produtos alimentares e bebidas não alcoólicas;6;
;Bebidas alcoólicas e tabaco;2,2;
;Vestuário e calçado;1,3;
;Habitação, água, electricidade, gás e outros combustíveis;4,6;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,7;
;Saúde;3,1;
;Transportes;5,3;
;Comunicações;-3,2;
;Lazer, recreação e cultura;2,8;
;Educação;4,5;
;Restaurantes e hotéis;4,2;
;Bens e serviços diversos;5,1;
Junho de 2001;Total;4,2;
;Produtos alimentares e bebidas não alcoólicas;5,6;
;Bebidas alcoólicas e tabaco;1,9;
;Vestuário e calçado;1,4;
;Habitação, água, electricidade, gás e outros combustíveis;4,6;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,6;
;Saúde;3;
;Transportes;5,4;
;Comunicações;-3,3;
;Lazer, recreação e cultura;2,6;
;Educação;4,2;
;Restaurantes e hotéis;4,3;
;Bens e serviços diversos;5;
Maio de 2001;Total;4;
;Produtos alimentares e bebidas não alcoólicas;5,1;
;Bebidas alcoólicas e tabaco;1,5;
;Vestuário e calçado;1,4;
;Habitação, água, electricidade, gás e outros combustíveis;4,5;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,4;
;Saúde;2,9;
;Transportes;5,5;
;Comunicações;-3,5;
;Lazer, recreação e cultura;2,4;
;Educação;4;
;Restaurantes e hotéis;4,3;
;Bens e serviços diversos;4,8;
Abril de 2001;Total;3,8;
;Produtos alimentares e bebidas não alcoólicas;4,4;
;Bebidas alcoólicas e tabaco;1,2;
;Vestuário e calçado;1,4;
;Habitação, água, electricidade, gás e outros combustíveis;4,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,3;
;Saúde;2,8;
;Transportes;5,6;
;Comunicações;-3,7;
;Lazer, recreação e cultura;2,2;
;Educação;3,9;
;Restaurantes e hotéis;4,2;
;Bens e serviços diversos;4,6;
Março de 2001;Total;3,6;
;Produtos alimentares e bebidas não alcoólicas;3,8;
;Bebidas alcoólicas e tabaco;1;
;Vestuário e calçado;1,3;
;Habitação, água, electricidade, gás e outros combustíveis;4,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,2;
;Saúde;2,7;
;Transportes;5,6;
;Comunicações;-3,9;
;Lazer, recreação e cultura;1,9;
;Educação;3,7;
;Restaurantes e hotéis;4,1;
;Bens e serviços diversos;4,5;
Fevereiro de 2001;Total;3,3;
;Produtos alimentares e bebidas não alcoólicas;3,1;
;Bebidas alcoólicas e tabaco;1;
;Vestuário e calçado;1,1;
;Habitação, água, electricidade, gás e outros combustíveis;4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,1;
;Saúde;2,7;
;Transportes;5,4;
;Comunicações;-4,1;
;Lazer, recreação e cultura;1,5;
;Educação;3,4;
;Restaurantes e hotéis;3,9;
;Bens e serviços diversos;4,4;
Janeiro de 2001;Total;3;
;Produtos alimentares e bebidas não alcoólicas;2,6;
;Bebidas alcoólicas e tabaco;1;
;Vestuário e calçado;0,8;
;Habitação, água, electricidade, gás e outros combustíveis;3,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2;
;Saúde;2,6;
;Transportes;5,1;
;Comunicações;-4,4;
;Lazer, recreação e cultura;1,3;
;Educação;3,2;
;Restaurantes e hotéis;3,8;
;Bens e serviços diversos;4,2;
Dezembro de 2000;Total;2,8;
;Produtos alimentares e bebidas não alcoólicas;2,1;
;Bebidas alcoólicas e tabaco;1;
;Vestuário e calçado;0,7;
;Habitação, água, electricidade, gás e outros combustíveis;3,7;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2;
;Saúde;2,6;
;Transportes;4,8;
;Comunicações;-4,8;
;Lazer, recreação e cultura;1;
;Educação;3;
;Restaurantes e hotéis;3,7;
;Bens e serviços diversos;4,1;
Novembro de 2000;Total;2,6;
;Produtos alimentares e bebidas não alcoólicas;1,8;
;Bebidas alcoólicas e tabaco;1,2;
;Vestuário e calçado;0,7;
;Habitação, água, electricidade, gás e outros combustíveis;3,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,9;
;Saúde;2,5;
;Transportes;4,7;
;Comunicações;-4,7;
;Lazer, recreação e cultura;0,6;
;Educação;2,7;
;Restaurantes e hotéis;3,7;
;Bens e serviços diversos;4;
Outubro de 2000;Total;2,5;
;Produtos alimentares e bebidas não alcoólicas;1,5;
;Bebidas alcoólicas e tabaco;1,4;
;Vestuário e calçado;0,6;
;Habitação, água, electricidade, gás e outros combustíveis;3,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,9;
;Saúde;2,4;
;Transportes;4,5;
;Comunicações;-4,5;
;Lazer, recreação e cultura;0,3;
;Educação;2,4;
;Restaurantes e hotéis;3,7;
;Bens e serviços diversos;3,9;
Setembro de 2000;Total;2,3;
;Produtos alimentares e bebidas não alcoólicas;1,3;
;Bebidas alcoólicas e tabaco;1,7;
;Vestuário e calçado;0,4;
;Habitação, água, electricidade, gás e outros combustíveis;2,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,8;
;Saúde;2,4;
;Transportes;4,3;
;Comunicações;-4,4;
;Lazer, recreação e cultura;0,1;
;Educação;2,2;
;Restaurantes e hotéis;3,5;
;Bens e serviços diversos;3,8;
Agosto de 2000;Total;2,2;
;Produtos alimentares e bebidas não alcoólicas;1,2;
;Bebidas alcoólicas e tabaco;2,1;
;Vestuário e calçado;0,2;
;Habitação, água, electricidade, gás e outros combustíveis;2,6;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,8;
;Saúde;2,4;
;Transportes;4;
;Comunicações;-4,3;
;Lazer, recreação e cultura;-0,1;
;Educação;2,3;
;Restaurantes e hotéis;3,3;
;Bens e serviços diversos;3,8;
Julho de 2000;Total;2;
;Produtos alimentares e bebidas não alcoólicas;1;
;Bebidas alcoólicas e tabaco;2,5;
;Vestuário e calçado;0,2;
;Habitação, água, electricidade, gás e outros combustíveis;2,3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,9;
;Saúde;2,4;
;Transportes;3,8;
;Comunicações;-4,3;
;Lazer, recreação e cultura;-0,2;
;Educação;2,4;
;Restaurantes e hotéis;3,1;
;Bens e serviços diversos;3,7;
Junho de 2000;Total;1,9;
;Produtos alimentares e bebidas não alcoólicas;0,9;
;Bebidas alcoólicas e tabaco;3;
;Vestuário e calçado;0,1;
;Habitação, água, electricidade, gás e outros combustíveis;2,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,9;
;Saúde;2,4;
;Transportes;3,6;
;Comunicações;-4,2;
;Lazer, recreação e cultura;-0,3;
;Educação;2,5;
;Restaurantes e hotéis;2,9;
;Bens e serviços diversos;3,7;
Maio de 2000;Total;1,9;
;Produtos alimentares e bebidas não alcoólicas;0,9;
;Bebidas alcoólicas e tabaco;3,7;
;Vestuário e calçado;0,1;
;Habitação, água, electricidade, gás e outros combustíveis;1,8;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2;
;Saúde;2,5;
;Transportes;3,3;
;Comunicações;-4;
;Lazer, recreação e cultura;-0,3;
;Educação;2,4;
;Restaurantes e hotéis;2,7;
;Bens e serviços diversos;3,7;
Abril de 2000;Total;1,8;
;Produtos alimentares e bebidas não alcoólicas;1;
;Bebidas alcoólicas e tabaco;4,4;
;Vestuário e calçado;-0,1;
;Habitação, água, electricidade, gás e outros combustíveis;1,7;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2;
;Saúde;2,6;
;Transportes;3,1;
;Comunicações;-3,8;
;Lazer, recreação e cultura;-0,3;
;Educação;2,5;
;Restaurantes e hotéis;2,6;
;Bens e serviços diversos;3,7;
Março de 2000;Total;1,9;
;Produtos alimentares e bebidas não alcoólicas;1,4;
;Bebidas alcoólicas e tabaco;5,1;
;Vestuário e calçado;0;
;Habitação, água, electricidade, gás e outros combustíveis;1,5;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,1;
;Saúde;2,7;
;Transportes;2,9;
;Comunicações;-3,8;
;Lazer, recreação e cultura;-0,2;
;Educação;2,5;
;Restaurantes e hotéis;2,6;
;Bens e serviços diversos;3,7;
Fevereiro de 2000;Total;2;
;Produtos alimentares e bebidas não alcoólicas;1,7;
;Bebidas alcoólicas e tabaco;5,9;
;Vestuário e calçado;0,2;
;Habitação, água, electricidade, gás e outros combustíveis;1,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,2;
;Saúde;2,7;
;Transportes;2,9;
;Comunicações;-3,9;
;Lazer, recreação e cultura;-0,1;
;Educação;2,6;
;Restaurantes e hotéis;2,7;
;Bens e serviços diversos;3,7;
Janeiro de 2000;Total;2,1;
;Produtos alimentares e bebidas não alcoólicas;2;
;Bebidas alcoólicas e tabaco;6,6;
;Vestuário e calçado;0,4;
;Habitação, água, electricidade, gás e outros combustíveis;1,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,2;
;Saúde;2,8;
;Transportes;2,9;
;Comunicações;-3,8;
;Lazer, recreação e cultura;-0,1;
;Educação;2,7;
;Restaurantes e hotéis;2,7;
;Bens e serviços diversos;3,7;
Dezembro de 1999;Total;2,2;
;Produtos alimentares e bebidas não alcoólicas;2,2;
;Bebidas alcoólicas e tabaco;7,2;
;Vestuário e calçado;0,4;
;Habitação, água, electricidade, gás e outros combustíveis;1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,2;
;Saúde;3;
;Transportes;2,8;
;Comunicações;-3,7;
;Lazer, recreação e cultura;0;
;Educação;2,9;
;Restaurantes e hotéis;2,7;
;Bens e serviços diversos;3,7;
Novembro de 1999;Total;2,3;
;Produtos alimentares e bebidas não alcoólicas;2,4;
;Bebidas alcoólicas e tabaco;7,7;
;Vestuário e calçado;0,3;
;Habitação, água, electricidade, gás e outros combustíveis;1,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,2;
;Saúde;3,1;
;Transportes;2,8;
;Comunicações;-3,9;
;Lazer, recreação e cultura;0,2;
;Educação;3,1;
;Restaurantes e hotéis;2,7;
;Bens e serviços diversos;3,7;
Outubro de 1999;Total;2,3;
;Produtos alimentares e bebidas não alcoólicas;2,6;
;Bebidas alcoólicas e tabaco;8;
;Vestuário e calçado;0,2;
;Habitação, água, electricidade, gás e outros combustíveis;1,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,2;
;Saúde;3,3;
;Transportes;2,9;
;Comunicações;-4;
;Lazer, recreação e cultura;0,4;
;Educação;3,3;
;Restaurantes e hotéis;2,7;
;Bens e serviços diversos;3,7;
Setembro de 1999;Total;2,4;
;Produtos alimentares e bebidas não alcoólicas;2,9;
;Bebidas alcoólicas e tabaco;8,1;
;Vestuário e calçado;-0,3;
;Habitação, água, electricidade, gás e outros combustíveis;1,3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,2;
;Saúde;3,4;
;Transportes;2,9;
;Comunicações;-4,2;
;Lazer, recreação e cultura;0,5;
;Educação;3,5;
;Restaurantes e hotéis;2,8;
;Bens e serviços diversos;3,7;
Agosto de 1999;Total;2,4;
;Produtos alimentares e bebidas não alcoólicas;3,1;
;Bebidas alcoólicas e tabaco;8;
;Vestuário e calçado;-1;
;Habitação, água, electricidade, gás e outros combustíveis;1,5;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,2;
;Saúde;3,5;
;Transportes;3;
;Comunicações;-4,3;
;Lazer, recreação e cultura;0,5;
;Educação;3,7;
;Restaurantes e hotéis;2,9;
;Bens e serviços diversos;3,7;
Julho de 1999;Total;2,4;
;Produtos alimentares e bebidas não alcoólicas;3,3;
;Bebidas alcoólicas e tabaco;7,9;
;Vestuário e calçado;-1,6;
;Habitação, água, electricidade, gás e outros combustíveis;1,6;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,2;
;Saúde;3,6;
;Transportes;3;
;Comunicações;-4,4;
;Lazer, recreação e cultura;0,5;
;Educação;3,9;
;Restaurantes e hotéis;2,9;
;Bens e serviços diversos;3,7;
Junho de 1999;Total;2,5;
;Produtos alimentares e bebidas não alcoólicas;3,7;
;Bebidas alcoólicas e tabaco;7,6;
;Vestuário e calçado;-1,8;
;Habitação, água, electricidade, gás e outros combustíveis;1,7;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,2;
;Saúde;3,7;
;Transportes;3,1;
;Comunicações;-4,5;
;Lazer, recreação e cultura;0,5;
;Educação;4;
;Restaurantes e hotéis;3,1;
;Bens e serviços diversos;3,7;
Maio de 1999;Total;2,6;
;Produtos alimentares e bebidas não alcoólicas;3,9;
;Bebidas alcoólicas e tabaco;7,2;
;Vestuário e calçado;-2,1;
;Habitação, água, electricidade, gás e outros combustíveis;1,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,2;
;Saúde;3,8;
;Transportes;3,2;
;Comunicações;-4,7;
;Lazer, recreação e cultura;0,3;
;Educação;4,3;
;Restaurantes e hotéis;3,1;
;Bens e serviços diversos;3,7;
Abril de 1999;Total;2,6;
;Produtos alimentares e bebidas não alcoólicas;4;
;Bebidas alcoólicas e tabaco;6,6;
;Vestuário e calçado;-2,2;
;Habitação, água, electricidade, gás e outros combustíveis;2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,2;
;Saúde;3,9;
;Transportes;3,2;
;Comunicações;-4,8;
;Lazer, recreação e cultura;0,2;
;Educação;4,5;
;Restaurantes e hotéis;3,2;
;Bens e serviços diversos;3,7;
Março de 1999;Total;2,5;
;Produtos alimentares e bebidas não alcoólicas;4;
;Bebidas alcoólicas e tabaco;6;
;Vestuário e calçado;-2,9;
;Habitação, água, electricidade, gás e outros combustíveis;2,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,1;
;Saúde;3,9;
;Transportes;3,3;
;Comunicações;-4,4;
;Lazer, recreação e cultura;0;
;Educação;4,8;
;Restaurantes e hotéis;3,1;
;Bens e serviços diversos;3,6;
Fevereiro de 1999;Total;2,4;
;Produtos alimentares e bebidas não alcoólicas;4;
;Bebidas alcoólicas e tabaco;5,4;
;Vestuário e calçado;-3,8;
;Habitação, água, electricidade, gás e outros combustíveis;2,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,1;
;Saúde;4;
;Transportes;3,4;
;Comunicações;-4,1;
;Lazer, recreação e cultura;-0,1;
;Educação;4,9;
;Restaurantes e hotéis;3,1;
;Bens e serviços diversos;3,4;
Janeiro de 1999;Total;2,3;
;Produtos alimentares e bebidas não alcoólicas;3,9;
;Bebidas alcoólicas e tabaco;4,7;
;Vestuário e calçado;-4,9;
;Habitação, água, electricidade, gás e outros combustíveis;2,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2;
;Saúde;4;
;Transportes;3,4;
;Comunicações;-3,8;
;Lazer, recreação e cultura;-0,2;
;Educação;4,9;
;Restaurantes e hotéis;3;
;Bens e serviços diversos;3,4;
Dezembro de 1998;Total;2,2;
;Produtos alimentares e bebidas não alcoólicas;3,8;
;Bebidas alcoólicas e tabaco;4,1;
;Vestuário e calçado;-5,4;
;Habitação, água, electricidade, gás e outros combustíveis;2,5;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2;
;Saúde;4,1;
;Transportes;3,4;
;Comunicações;-3,4;
;Lazer, recreação e cultura;-0,3;
;Educação;5;
;Restaurantes e hotéis;3;
;Bens e serviços diversos;3,3;
Novembro de 1998;Total;2,2;
;Produtos alimentares e bebidas não alcoólicas;3,7;
;Bebidas alcoólicas e tabaco;3,5;
;Vestuário e calçado;-5,4;
;Habitação, água, electricidade, gás e outros combustíveis;2,6;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2;
;Saúde;4,2;
;Transportes;3,4;
;Comunicações;-2,8;
;Lazer, recreação e cultura;-0,4;
;Educação;5;
;Restaurantes e hotéis;2,9;
;Bens e serviços diversos;3,3;
Outubro de 1998;Total;2,1;
;Produtos alimentares e bebidas não alcoólicas;3,5;
;Bebidas alcoólicas e tabaco;2,9;
;Vestuário e calçado;-5,2;
;Habitação, água, electricidade, gás e outros combustíveis;2,6;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2;
;Saúde;4,3;
;Transportes;3,4;
;Comunicações;-2,2;
;Lazer, recreação e cultura;-0,5;
;Educação;5;
;Restaurantes e hotéis;2,7;
;Bens e serviços diversos;3,3;
Setembro de 1998;Total;2;
;Produtos alimentares e bebidas não alcoólicas;3,1;
;Bebidas alcoólicas e tabaco;2,6;
;Vestuário e calçado;-4,7;
;Habitação, água, electricidade, gás e outros combustíveis;2,7;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2;
;Saúde;4,3;
;Transportes;3,4;
;Comunicações;-1,6;
;Lazer, recreação e cultura;-0,6;
;Educação;5,1;
;Restaurantes e hotéis;2,7;
;Bens e serviços diversos;3,3;
Agosto de 1998;Total;2;
;Produtos alimentares e bebidas não alcoólicas;2,7;
;Bebidas alcoólicas e tabaco;2,3;
;Vestuário e calçado;-4;
;Habitação, água, electricidade, gás e outros combustíveis;2,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,9;
;Saúde;4,4;
;Transportes;3,3;
;Comunicações;-1;
;Lazer, recreação e cultura;-0,4;
;Educação;5;
;Restaurantes e hotéis;2,6;
;Bens e serviços diversos;3,3;
Julho de 1998;Total;1,9;
;Produtos alimentares e bebidas não alcoólicas;2,3;
;Bebidas alcoólicas e tabaco;2,1;
;Vestuário e calçado;-3,4;
;Habitação, água, electricidade, gás e outros combustíveis;3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,9;
;Saúde;4,5;
;Transportes;3,3;
;Comunicações;-0,4;
;Lazer, recreação e cultura;-0,3;
;Educação;5;
;Restaurantes e hotéis;2,5;
;Bens e serviços diversos;3,3;
Junho de 1998;Total;1,8;
;Produtos alimentares e bebidas não alcoólicas;1,7;
;Bebidas alcoólicas e tabaco;2;
;Vestuário e calçado;-3,1;
;Habitação, água, electricidade, gás e outros combustíveis;3,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,9;
;Saúde;4,5;
;Transportes;3,4;
;Comunicações;0,2;
;Lazer, recreação e cultura;-0,1;
;Educação;4,9;
;Restaurantes e hotéis;2,4;
;Bens e serviços diversos;3,3;
Maio de 1998;Total;1,7;
;Produtos alimentares e bebidas não alcoólicas;1,3;
;Bebidas alcoólicas e tabaco;2;
;Vestuário e calçado;-2,9;
;Habitação, água, electricidade, gás e outros combustíveis;3,3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,9;
;Saúde;4,6;
;Transportes;3,4;
;Comunicações;0,8;
;Lazer, recreação e cultura;0,1;
;Educação;4,8;
;Restaurantes e hotéis;2,3;
;Bens e serviços diversos;3,2;
Abril de 1998;Total;1,7;
;Produtos alimentares e bebidas não alcoólicas;1;
;Bebidas alcoólicas e tabaco;2,1;
;Vestuário e calçado;-2,6;
;Habitação, água, electricidade, gás e outros combustíveis;3,6;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,9;
;Saúde;4,6;
;Transportes;3,4;
;Comunicações;1,3;
;Lazer, recreação e cultura;0,4;
;Educação;4,7;
;Restaurantes e hotéis;2,3;
;Bens e serviços diversos;3,2;
Março de 1998;Total;1,6;
;Produtos alimentares e bebidas não alcoólicas;0,5;
;Bebidas alcoólicas e tabaco;2,2;
;Vestuário e calçado;-2;
;Habitação, água, electricidade, gás e outros combustíveis;3,8;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2;
;Saúde;4,7;
;Transportes;3,4;
;Comunicações;1,7;
;Lazer, recreação e cultura;0,8;
;Educação;4,6;
;Restaurantes e hotéis;2,3;
;Bens e serviços diversos;3,3;
Fevereiro de 1998;Total;1,7;
;Produtos alimentares e bebidas não alcoólicas;0,2;
;Bebidas alcoólicas e tabaco;2,2;
;Vestuário e calçado;-1;
;Habitação, água, electricidade, gás e outros combustíveis;4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2;
;Saúde;4,7;
;Transportes;3,4;
;Comunicações;2;
;Lazer, recreação e cultura;1,2;
;Educação;4,6;
;Restaurantes e hotéis;2,3;
;Bens e serviços diversos;3,4;
Janeiro de 1998;Total;1,8;
;Produtos alimentares e bebidas não alcoólicas;0;
;Bebidas alcoólicas e tabaco;2,4;
;Vestuário e calçado;0;
;Habitação, água, electricidade, gás e outros combustíveis;4,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,1;
;Saúde;4,8;
;Transportes;3,5;
;Comunicações;2,3;
;Lazer, recreação e cultura;1,5;
;Educação;4,6;
;Restaurantes e hotéis;2,3;
;Bens e serviços diversos;3,5;
Dezembro de 1997;Total;1,9;
;Produtos alimentares e bebidas não alcoólicas;0,1;
;Bebidas alcoólicas e tabaco;2,6;
;Vestuário e calçado;0,6;
;Habitação, água, electricidade, gás e outros combustíveis;4,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,2;
;Saúde;4,8;
;Transportes;3,6;
;Comunicações;2,5;
;Lazer, recreação e cultura;1,6;
;Educação;4,6;
;Restaurantes e hotéis;2,3;
;Bens e serviços diversos;3,6;
Novembro de 1997;Total;2;
;Produtos alimentares e bebidas não alcoólicas;0,1;
;Bebidas alcoólicas e tabaco;2,9;
;Vestuário e calçado;0,7;
;Habitação, água, electricidade, gás e outros combustíveis;3,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,3;
;Saúde;4,8;
;Transportes;3,7;
;Comunicações;2,7;
;Lazer, recreação e cultura;1,8;
;Educação;4,6;
;Restaurantes e hotéis;2,4;
;Bens e serviços diversos;3,6;
Outubro de 1997;Total;2;
;Produtos alimentares e bebidas não alcoólicas;0,1;
;Bebidas alcoólicas e tabaco;3,3;
;Vestuário e calçado;0,8;
;Habitação, água, electricidade, gás e outros combustíveis;3,8;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,4;
;Saúde;4,7;
;Transportes;3,9;
;Comunicações;2,9;
;Lazer, recreação e cultura;2;
;Educação;4,6;
;Restaurantes e hotéis;2,7;
;Bens e serviços diversos;3,7;
Setembro de 1997;Total;2,1;
;Produtos alimentares e bebidas não alcoólicas;0,3;
;Bebidas alcoólicas e tabaco;3,5;
;Vestuário e calçado;1;
;Habitação, água, electricidade, gás e outros combustíveis;3,5;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,5;
;Saúde;4,7;
;Transportes;4;
;Comunicações;3,2;
;Lazer, recreação e cultura;2;
;Educação;4,6;
;Restaurantes e hotéis;2,7;
;Bens e serviços diversos;3,8;
Agosto de 1997;Total;2,3;
;Produtos alimentares e bebidas não alcoólicas;0,6;
;Bebidas alcoólicas e tabaco;3,8;
;Vestuário e calçado;1,1;
;Habitação, água, electricidade, gás e outros combustíveis;3,3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,7;
;Saúde;4,7;
;Transportes;4;
;Comunicações;3,4;
;Lazer, recreação e cultura;2;
;Educação;4,7;
;Restaurantes e hotéis;2,8;
;Bens e serviços diversos;3,9;
Julho de 1997;Total;2,4;
;Produtos alimentares e bebidas não alcoólicas;0,9;
;Bebidas alcoólicas e tabaco;4,1;
;Vestuário e calçado;1,2;
;Habitação, água, electricidade, gás e outros combustíveis;3,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,8;
;Saúde;4,6;
;Transportes;4,1;
;Comunicações;3,6;
;Lazer, recreação e cultura;2,1;
;Educação;4,8;
;Restaurantes e hotéis;2,9;
;Bens e serviços diversos;4;
Junho de 1997;Total;2,6;
;Produtos alimentares e bebidas não alcoólicas;1,4;
;Bebidas alcoólicas e tabaco;4,1;
;Vestuário e calçado;1,3;
;Habitação, água, electricidade, gás e outros combustíveis;2,8;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;2,9;
;Saúde;4,7;
;Transportes;4,2;
;Comunicações;3,8;
;Lazer, recreação e cultura;2,3;
;Educação;4,9;
;Restaurantes e hotéis;3;
;Bens e serviços diversos;4;
Maio de 1997;Total;2,8;
;Produtos alimentares e bebidas não alcoólicas;1,8;
;Bebidas alcoólicas e tabaco;4,1;
;Vestuário e calçado;1,4;
;Habitação, água, electricidade, gás e outros combustíveis;2,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;3;
;Saúde;4,9;
;Transportes;4,2;
;Comunicações;4;
;Lazer, recreação e cultura;2,6;
;Educação;5;
;Restaurantes e hotéis;3,2;
;Bens e serviços diversos;4,2;
Abril de 1997;Total;2,9;
;Produtos alimentares e bebidas não alcoólicas;2,1;
;Bebidas alcoólicas e tabaco;4,1;
;Vestuário e calçado;1,5;
;Habitação, água, electricidade, gás e outros combustíveis;2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;3,1;
;Saúde;5,2;
;Transportes;4,3;
;Comunicações;4,3;
;Lazer, recreação e cultura;2,8;
;Educação;5,1;
;Restaurantes e hotéis;3,2;
;Bens e serviços diversos;4,3;
Março de 1997;Total;3;
;Produtos alimentares e bebidas não alcoólicas;2,3;
;Bebidas alcoólicas e tabaco;4;
;Vestuário e calçado;1,6;
;Habitação, água, electricidade, gás e outros combustíveis;1,6;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;3,1;
;Saúde;5,4;
;Transportes;4,3;
;Comunicações;4,5;
;Lazer, recreação e cultura;3;
;Educação;5,2;
;Restaurantes e hotéis;3,2;
;Bens e serviços diversos;4,5;
Fevereiro de 1997;Total;2,9;
;Produtos alimentares e bebidas não alcoólicas;2,3;
;Bebidas alcoólicas e tabaco;4;
;Vestuário e calçado;1,7;
;Habitação, água, electricidade, gás e outros combustíveis;1,3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;3,2;
;Saúde;5,7;
;Transportes;4,3;
;Comunicações;4,7;
;Lazer, recreação e cultura;3,1;
;Educação;5,3;
;Restaurantes e hotéis;3,3;
;Bens e serviços diversos;4,5;
Janeiro de 1997;Total;3;
;Produtos alimentares e bebidas não alcoólicas;2,2;
;Bebidas alcoólicas e tabaco;4,2;
;Vestuário e calçado;1,8;
;Habitação, água, electricidade, gás e outros combustíveis;1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;3,2;
;Saúde;6;
;Transportes;4,3;
;Comunicações;4,9;
;Lazer, recreação e cultura;3,4;
;Educação;5,4;
;Restaurantes e hotéis;3,4;
;Bens e serviços diversos;4,6;
Dezembro de 1996;Total;2,9;
;Produtos alimentares e bebidas não alcoólicas;2;
;Bebidas alcoólicas e tabaco;4,3;
;Vestuário e calçado;1,8;
